Territorio;Titularidad del centro;Sexo;Curso escolar;Nivel educativo;Modalidad;Valor
País Vasco;Centros privados;Total;2016-2017;Medio;Presencial;1232
País Vasco;Centros privados;Total;2016-2017;Superior;Distancia;0
País Vasco;Centros privados;Total;2016-2017;Superior;Presencial;1197
País Vasco;Centros privados;Total;2017-2018;Básico;Presencial;182
País Vasco;Centros privados;Total;2017-2018;Medio;Distancia;0
País Vasco;Centros privados;Total;2017-2018;Medio;Presencial;1265
País Vasco;Centros privados;Total;2017-2018;Superior;Distancia;8
País Vasco;Centros privados;Total;2017-2018;Superior;Presencial;1381
País Vasco;Centros privados;Hombres;2015-2016;Básico;Presencial;70
País Vasco;Centros privados;Hombres;2015-2016;Medio;Distancia;0
País Vasco;Centros privados;Hombres;2015-2016;Medio;Presencial;460
País Vasco;Centros privados;Hombres;2015-2016;Superior;Distancia;0
País Vasco;Centros privados;Hombres;2015-2016;Superior;Presencial;558
País Vasco;Centros privados;Hombres;2016-2017;Básico;Presencial;157
País Vasco;Centros privados;Hombres;2016-2017;Medio;Distancia;0
País Vasco;Centros privados;Hombres;2016-2017;Medio;Presencial;422
País Vasco;Centros privados;Hombres;2016-2017;Superior;Distancia;0
País Vasco;Centros privados;Hombres;2016-2017;Superior;Presencial;534
País Vasco;Centros privados;Hombres;2017-2018;Básico;Presencial;112
País Vasco;Centros privados;Hombres;2017-2018;Medio;Distancia;0
País Vasco;Centros privados;Hombres;2017-2018;Medio;Presencial;472
País Vasco;Centros privados;Hombres;2017-2018;Superior;Distancia;3
País Vasco;Centros privados;Hombres;2017-2018;Superior;Presencial;607
País Vasco;Centros privados;Mujeres;2015-2016;Básico;Presencial;41
País Vasco;Centros privados;Mujeres;2015-2016;Medio;Distancia;0
País Vasco;Centros privados;Mujeres;2015-2016;Medio;Presencial;703
País Vasco;Centros privados;Mujeres;2015-2016;Superior;Distancia;0
País Vasco;Centros privados;Mujeres;2015-2016;Superior;Presencial;757
País Vasco;Centros privados;Mujeres;2016-2017;Básico;Presencial;83
País Vasco;Centros privados;Mujeres;2016-2017;Medio;Distancia;0
País Vasco;Centros privados;Mujeres;2016-2017;Medio;Presencial;810
País Vasco;Centros privados;Mujeres;2016-2017;Superior;Distancia;0
País Vasco;Centros privados;Mujeres;2016-2017;Superior;Presencial;663
País Vasco;Centros privados;Mujeres;2017-2018;Básico;Presencial;70
País Vasco;Centros privados;Mujeres;2017-2018;Medio;Distancia;0
País Vasco;Centros privados;Mujeres;2017-2018;Medio;Presencial;793
País Vasco;Centros privados;Mujeres;2017-2018;Superior;Distancia;5
País Vasco;Centros privados;Mujeres;2017-2018;Superior;Presencial;774
País Vasco;Centros públicos;Total;2015-2016;Básico;Presencial;612
País Vasco;Centros públicos;Total;2015-2016;Medio;Distancia;213
País Vasco;Centros públicos;Total;2015-2016;Medio;Presencial;4878
País Vasco;Centros públicos;Total;2015-2016;Superior;Distancia;193
País Vasco;Centros públicos;Total;2015-2016;Superior;Presencial;5922
País Vasco;Centros públicos;Total;2016-2017;Básico;Presencial;1028
País Vasco;Centros públicos;Total;2016-2017;Medio;Distancia;238
País Vasco;Centros públicos;Total;2016-2017;Medio;Presencial;4479
País Vasco;Centros públicos;Total;2016-2017;Superior;Distancia;186
País Vasco;Centros públicos;Total;2016-2017;Superior;Presencial;5213
País Vasco;Centros públicos;Total;2017-2018;Básico;Presencial;1083
País Vasco;Centros públicos;Total;2017-2018;Medio;Distancia;215
País Vasco;Centros públicos;Total;2017-2018;Medio;Presencial;4284
País Vasco;Centros públicos;Total;2017-2018;Superior;Distancia;188
País Vasco;Centros públicos;Total;2017-2018;Superior;Presencial;5787
País Vasco;Centros públicos;Hombres;2015-2016;Básico;Presencial;458
País Vasco;Centros públicos;Hombres;2015-2016;Medio;Distancia;58
País Vasco;Centros públicos;Hombres;2015-2016;Medio;Presencial;2833
País Vasco;Centros públicos;Hombres;2015-2016;Superior;Distancia;80
País Vasco;Centros públicos;Hombres;2015-2016;Superior;Presencial;3054
País Vasco;Centros públicos;Hombres;2016-2017;Básico;Presencial;760
País Vasco;Centros públicos;Hombres;2016-2017;Medio;Distancia;66
País Vasco;Centros públicos;Hombres;2016-2017;Medio;Presencial;2673
País Vasco;Centros públicos;Hombres;2016-2017;Superior;Distancia;86
País Vasco;Centros públicos;Hombres;2016-2017;Superior;Presencial;2707
País Vasco;Centros públicos;Hombres;2017-2018;Básico;Presencial;790
País Vasco;Centros públicos;Hombres;2017-2018;Medio;Distancia;58
País Vasco;Centros públicos;Hombres;2017-2018;Medio;Presencial;2441
País Vasco;Centros públicos;Hombres;2017-2018;Superior;Distancia;85
País Vasco;Centros públicos;Hombres;2017-2018;Superior;Presencial;3040
País Vasco;Centros públicos;Mujeres;2015-2016;Básico;Presencial;154
País Vasco;Centros públicos;Mujeres;2015-2016;Medio;Distancia;155
País Vasco;Centros públicos;Mujeres;2015-2016;Medio;Presencial;2045
País Vasco;Centros públicos;Mujeres;2015-2016;Superior;Distancia;113
País Vasco;Centros públicos;Mujeres;2015-2016;Superior;Presencial;2868
País Vasco;Centros públicos;Mujeres;2016-2017;Básico;Presencial;268
País Vasco;Centros públicos;Mujeres;2016-2017;Medio;Distancia;172
País Vasco;Centros públicos;Mujeres;2016-2017;Medio;Presencial;1806
País Vasco;Centros públicos;Mujeres;2016-2017;Superior;Distancia;100
País Vasco;Centros públicos;Mujeres;2016-2017;Superior;Presencial;2506
País Vasco;Centros públicos;Mujeres;2017-2018;Básico;Presencial;293
País Vasco;Centros públicos;Mujeres;2017-2018;Medio;Distancia;157
País Vasco;Centros públicos;Mujeres;2017-2018;Medio;Presencial;1843
País Vasco;Centros públicos;Mujeres;2017-2018;Superior;Distancia;103
País Vasco;Centros públicos;Mujeres;2017-2018;Superior;Presencial;2747
País Vasco;Todos los centros;Total;2015-2016;Básico;Presencial;723
País Vasco;Todos los centros;Total;2015-2016;Medio;Distancia;213
País Vasco;Todos los centros;Total;2015-2016;Medio;Presencial;6041
País Vasco;Todos los centros;Total;2015-2016;Superior;Distancia;193
País Vasco;Todos los centros;Total;2015-2016;Superior;Presencial;7237
País Vasco;Todos los centros;Total;2016-2017;Básico;Presencial;1268
País Vasco;Todos los centros;Total;2016-2017;Medio;Distancia;238
