Territorio;Sexo;Curso escolar;Valor
Cataluña;Mujeres;2018-2019;24143
Comunitat Valenciana;Mujeres;2018-2019;18215
Extremadura;Mujeres;2018-2019;3310
Galicia;Mujeres;2018-2019;7631
Madrid, Comunidad de;Mujeres;2018-2019;13930
Murcia, Región de;Mujeres;2018-2019;4421
Navarra, Comunidad Foral de;Mujeres;2018-2019;1484
País Vasco;Mujeres;2018-2019;5034
Rioja, La;Mujeres;2018-2019;1064
Ceuta;Mujeres;2018-2019;485
Melilla;Mujeres;2018-2019;299
España;Mujeres;2017-2018;134327
Andalucía;Mujeres;2017-2018;26449
Aragón;Mujeres;2017-2018;3463
Asturias, Principado de;Mujeres;2017-2018;2258
Balears, Illes;Mujeres;2017-2018;2932
Canarias;Mujeres;2017-2018;5197
Cantabria;Mujeres;2017-2018;1809
Castilla y León;Mujeres;2017-2018;6601
Castilla-La Mancha;Mujeres;2017-2018;6331
Cataluña;Mujeres;2017-2018;23868
Comunitat Valenciana;Mujeres;2017-2018;17670
Extremadura;Mujeres;2017-2018;3381
Galicia;Mujeres;2017-2018;7740
Madrid, Comunidad de;Mujeres;2017-2018;14088
Murcia, Región de;Mujeres;2017-2018;4362
Navarra, Comunidad Foral de;Mujeres;2017-2018;1414
País Vasco;Mujeres;2017-2018;4956
Rioja, La;Mujeres;2017-2018;1059
Ceuta;Mujeres;2017-2018;462
Melilla;Mujeres;2017-2018;287
España;Mujeres;2016-2017;134932
Andalucía;Mujeres;2016-2017;26876
Aragón;Mujeres;2016-2017;3276
Asturias, Principado de;Mujeres;2016-2017;2349
Balears, Illes;Mujeres;2016-2017;2907
Canarias;Mujeres;2016-2017;5495
Cantabria;Mujeres;2016-2017;1795
Castilla y León;Mujeres;2016-2017;6780
Castilla-La Mancha;Mujeres;2016-2017;6753
Cataluña;Mujeres;2016-2017;23284
Comunitat Valenciana;Mujeres;2016-2017;18101
Extremadura;Mujeres;2016-2017;3485
Galicia;Mujeres;2016-2017;7894
Madrid, Comunidad de;Mujeres;2016-2017;13920
Murcia, Región de;Mujeres;2016-2017;4102
Navarra, Comunidad Foral de;Mujeres;2016-2017;1316
País Vasco;Mujeres;2016-2017;4812
Rioja, La;Mujeres;2016-2017;1087
Ceuta;Mujeres;2016-2017;403
Melilla;Mujeres;2016-2017;297
España;Mujeres;2015-2016;138362
Andalucía;Mujeres;2015-2016;27727
Aragón;Mujeres;2015-2016;3371
Asturias, Principado de;Mujeres;2015-2016;2502
Balears, Illes;Mujeres;2015-2016;2868
Canarias;Mujeres;2015-2016;5833
Cantabria;Mujeres;2015-2016;1827
Castilla y León;Mujeres;2015-2016;7126
Castilla-La Mancha;Mujeres;2015-2016;6936
Cataluña;Mujeres;2015-2016;23726
Comunitat Valenciana;Mujeres;2015-2016;18603
Extremadura;Mujeres;2015-2016;3593
Galicia;Mujeres;2015-2016;8163
Madrid, Comunidad de;Mujeres;2015-2016;14074
Murcia, Región de;Mujeres;2015-2016;4119
Navarra, Comunidad Foral de;Mujeres;2015-2016;1393
País Vasco;Mujeres;2015-2016;4674
Rioja, La;Mujeres;2015-2016;1130
Ceuta;Mujeres;2015-2016;382
Melilla;Mujeres;2015-2016;315
